Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,253.2,258.0,Unknown,,,UNREGISTERED
1,253.95,236.0,Unknown,,,UNREGISTERED
1,275.6,261.0,Unknown,,,UNREGISTERED
1,277.09,223.0,Unknown,,,UNREGISTERED
1,277.84,151.0,Unknown,,,UNREGISTERED
1,280.81,2336.0,Unknown,,,UNREGISTERED
1,284.16,350.0,Unknown,,,UNREGISTERED
1,285.27,279.0,Mg I,285.21,0.06,VERIFIED
1,286.76,410.0,Unknown,,,UNREGISTERED
1,289.36,464.0,Unknown,,,UNREGISTERED
1,290.84,301.0,Unknown,,,UNREGISTERED
1,291.59,312.0,Unknown,,,UNREGISTERED
1,293.07,302.0,Unknown,,,UNREGISTERED
1,293.81,386.0,Unknown,,,UNREGISTERED
1,294.55,396.0,Unknown,,,UNREGISTERED
1,295.29,442.0,Unknown,,,UNREGISTERED
1,296.03,344.0,Unknown,,,UNREGISTERED
1,297.89,199.0,Unknown,,,UNREGISTERED
1,298.63,226.0,Unknown,,,UNREGISTERED
1,299.74,243.0,Unknown,,,UNREGISTERED
1,300.48,261.0,Unknown,,,UNREGISTERED
1,301.59,374.0,Unknown,,,UNREGISTERED
1,302.33,276.0,Unknown,,,UNREGISTERED
1,303.07,383.0,Unknown,,,UNREGISTERED
1,305.29,449.0,Unknown,,,UNREGISTERED
1,306.39,406.0,Unknown,,,UNREGISTERED
1,307.13,360.0,Unknown,,,UNREGISTERED
1,310.46,1366.0,Unknown,,,UNREGISTERED
1,314.15,459.0,Unknown,,,UNREGISTERED
1,315.25,598.0,Unknown,,,UNREGISTERED
1,317.46,1198.0,Unknown,,,UNREGISTERED
1,319.31,1798.0,Unknown,,,UNREGISTERED
1,322.62,680.0,Unknown,,,UNREGISTERED
1,324.46,648.0,Unknown,,,UNREGISTERED
1,325.93,602.0,Unknown,,,UNREGISTERED
1,328.14,552.0,Unknown,,,UNREGISTERED
1,329.24,458.0,Unknown,,,UNREGISTERED
1,330.34,509.0,Unknown,,,UNREGISTERED
1,331.44,382.0,Unknown,,,UNREGISTERED
1,332.18,355.0,Unknown,,,UNREGISTERED
1,332.91,346.0,Unknown,,,UNREGISTERED
1,333.64,455.0,Unknown,,,UNREGISTERED
1,334.74,429.0,Ti II,334.94,0.2,VERIFIED
1,335.48,469.0,Unknown,,,UNREGISTERED
1,336.21,615.0,Unknown,,,UNREGISTERED
1,336.94,517.0,Unknown,,,UNREGISTERED
1,338.41,416.0,Unknown,,,UNREGISTERED
1,339.14,443.0,Unknown,,,UNREGISTERED
1,340.24,406.0,Unknown,,,UNREGISTERED
1,340.98,451.0,Unknown,,,UNREGISTERED
1,342.07,430.0,Unknown,,,UNREGISTERED
1,343.54,394.0,Unknown,,,UNREGISTERED
1,344.27,333.0,Unknown,,,UNREGISTERED
1,345.0,398.0,Unknown,,,UNREGISTERED
1,345.73,401.0,Unknown,,,UNREGISTERED
1,346.46,399.0,Unknown,,,UNREGISTERED
1,347.2,432.0,Unknown,,,UNREGISTERED
1,347.93,409.0,Unknown,,,UNREGISTERED
1,348.66,444.0,Unknown,,,UNREGISTERED
1,349.39,485.0,Unknown,,,UNREGISTERED
1,350.48,456.0,Unknown,,,UNREGISTERED
1,351.21,414.0,Unknown,,,UNREGISTERED
1,351.95,482.0,Unknown,,,UNREGISTERED
1,352.68,434.0,Unknown,,,UNREGISTERED
1,353.41,467.0,Unknown,,,UNREGISTERED
1,354.14,534.0,Unknown,,,UNREGISTERED
1,355.59,522.0,Unknown,,,UNREGISTERED
1,356.69,475.0,Unknown,,,UNREGISTERED
1,357.42,545.0,Unknown,,,UNREGISTERED
1,359.24,831.0,Unknown,,,UNREGISTERED
1,360.33,1188.0,Unknown,,,UNREGISTERED
1,361.43,1006.0,Unknown,,,UNREGISTERED
1,362.52,1039.0,Unknown,,,UNREGISTERED
1,363.61,897.0,Unknown,,,UNREGISTERED
1,364.34,760.0,Unknown,,,UNREGISTERED
1,365.07,801.0,Unknown,,,UNREGISTERED
1,366.16,699.0,Unknown,,,UNREGISTERED
1,367.61,571.0,Unknown,,,UNREGISTERED
1,368.34,676.0,Unknown,,,UNREGISTERED
1,370.16,655.0,Unknown,,,UNREGISTERED
1,370.88,757.0,Unknown,,,UNREGISTERED
1,372.34,898.0,Unknown,,,UNREGISTERED
1,373.06,1065.0,Fe I,373.49,0.43,VERIFIED
1,374.15,1013.0,Unknown,,,UNREGISTERED
1,375.96,1294.0,Unknown,,,UNREGISTERED
1,377.05,1177.0,Unknown,,,UNREGISTERED
1,377.78,1098.0,Unknown,,,UNREGISTERED
1,379.95,959.0,Unknown,,,UNREGISTERED
1,380.68,913.0,Unknown,,,UNREGISTERED
1,382.13,1156.0,Unknown,,,UNREGISTERED
1,382.85,1213.0,Unknown,,,UNREGISTERED
1,385.02,1425.0,Unknown,,,UNREGISTERED
1,385.74,1400.0,Fe I,385.99,0.25,VERIFIED
1,387.55,1238.0,Unknown,,,UNREGISTERED
1,388.64,1145.0,Unknown,,,UNREGISTERED
1,389.72,1153.0,Unknown,,,UNREGISTERED
1,390.44,1167.0,Si I,390.55,0.11,VERIFIED
1,391.53,1305.0,Unknown,,,UNREGISTERED
1,395.14,2580.0,Unknown,,,UNREGISTERED
1,395.86,2541.0,Al I,396.15,0.29,VERIFIED
1,397.66,2439.0,Unknown,,,UNREGISTERED
1,398.74,2475.0,Unknown,,,UNREGISTERED
1,403.42,995.0,Unknown,,,UNREGISTERED
1,404.5,883.0,Fe I,404.58,0.08,VERIFIED
1,405.94,1013.0,Unknown,,,UNREGISTERED
1,406.66,1091.0,Unknown,,,UNREGISTERED
1,407.74,1177.0,Unknown,,,UNREGISTERED
1,410.25,1709.0,Unknown,,,UNREGISTERED
1,411.33,1487.0,Unknown,,,UNREGISTERED
1,413.13,1474.0,Unknown,,,UNREGISTERED
1,413.84,1531.0,Unknown,,,UNREGISTERED
1,414.56,1630.0,Unknown,,,UNREGISTERED
1,419.22,1041.0,Unknown,,,UNREGISTERED
1,419.94,953.0,Unknown,,,UNREGISTERED
1,421.37,1056.0,Unknown,,,UNREGISTERED
1,422.44,1044.0,Ca I,422.67,0.23,VERIFIED
1,423.51,930.0,Unknown,,,UNREGISTERED
1,424.59,1197.0,Unknown,,,UNREGISTERED
1,425.66,1362.0,Unknown,,,UNREGISTERED
1,427.09,1000.0,Unknown,,,UNREGISTERED
1,428.16,995.0,Unknown,,,UNREGISTERED
1,430.3,1077.0,Unknown,,,UNREGISTERED
1,431.02,1077.0,Unknown,,,UNREGISTERED
1,432.45,1227.0,Unknown,,,UNREGISTERED
1,433.16,1394.0,Unknown,,,UNREGISTERED
1,433.87,1344.0,Unknown,,,UNREGISTERED
1,434.94,1293.0,Unknown,,,UNREGISTERED
1,436.72,1217.0,Unknown,,,UNREGISTERED
1,438.15,1123.0,Fe I,438.36,0.21,VERIFIED
1,439.57,1088.0,Unknown,,,UNREGISTERED
1,441.0,1108.0,Unknown,,,UNREGISTERED
1,442.06,1125.0,Unknown,,,UNREGISTERED
