Measurement_ID,Time_UTC,Measurement_Count,Wavelength_nm,Cleaned_Intensity,Operation_Mode,Measurement_Type,Force_Reset_Status,Laser_Fire_Status,Is_Valid_Plasma,Is_Background,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 05:47:45,2,164.35,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,164.74,35.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,165.12,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,165.5,25.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,165.88,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,166.26,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,166.64,28.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,167.03,36.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,167.41,14.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,167.79,135.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,168.17,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,168.55,54.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,168.93,8.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,169.31,103.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,169.7,111.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,170.08,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,170.46,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,170.84,11.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,171.22,24.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,171.6,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,171.98,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,172.36,60.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,172.74,13.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,173.13,26.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,173.51,96.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,173.89,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,174.27,42.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,174.65,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,175.03,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,175.41,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,175.79,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,176.17,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,176.55,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,176.93,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,177.32,39.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,177.7,95.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,178.08,26.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,178.46,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,178.84,111.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,179.22,110.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,179.6,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,179.98,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,180.36,65.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,180.74,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,181.12,5.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,181.5,128.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,181.88,20.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,182.26,15.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,182.64,21.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,183.02,100.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,183.4,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,183.78,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,184.16,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,184.54,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,184.92,116.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,185.3,57.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,185.68,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,186.06,83.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,186.44,7.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,186.82,99.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,187.2,20.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,187.58,49.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,187.96,29.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
