Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 14:47:38,ASLF,Plasma,0.375,2000,20,1,3220,95,5,1
2,2023-08-31 14:47:38,ASLF,Plasma,0.375,2000,20,1,3180,95,5,1
3,2023-08-31 14:47:39,ASLF,Plasma,0.375,2000,20,1,3157,95,5,1
4,2023-08-31 14:47:39,ASLF,Plasma,0.375,2000,20,1,3229,95,5,1
5,2023-08-31 14:47:39,ASLF,Plasma,0.375,2000,20,1,3187,95,5,1
6,2023-08-31 14:47:39,ASLF,Plasma,0.375,2000,20,1,3154,95,5,1
7,2023-08-31 14:47:39,ASLF,Plasma,0.375,2000,20,1,3185,95,5,1
8,2023-08-31 14:47:40,ASLF,Plasma,0.375,2000,20,1,3191,95,5,1
9,2023-08-31 14:47:40,ASLF,Plasma,0.375,2000,20,1,3180,95,5,1
10,2023-08-31 14:47:40,ASLF,Plasma,0.375,2000,20,1,3178,95,5,1
11,2023-08-31 14:47:40,ASLF,Plasma,0.375,2000,20,1,3179,95,5,1
12,2023-08-31 14:47:40,ASLF,Plasma,0.375,2000,20,1,3143,95,5,1
