Wavelength,Response count
153.21,328
153.62,300
154.02,352
154.42,324
154.83,311
155.23,252
155.63,260
156.03,331
156.44,263
156.84,370
157.24,276
157.64,303
158.05,258
158.45,343
158.85,274
159.25,229
159.65,243
160.05,321
160.46,268
160.86,344
161.26,300
161.66,268
162.06,268
162.46,312
162.86,316
163.26,339
163.66,404
164.06,296
164.46,328
164.86,265
165.26,371
165.66,304
166.06,311
166.46,316
166.86,278
167.26,268
167.66,366
168.06,263
168.45,303
168.85,248
169.25,282
169.65,307
170.05,271
170.45,273
170.84,322
171.24,334
171.64,341
172.04,266
172.43,346
172.83,288
173.23,258
173.63,368
174.02,224
174.42,361
174.82,305
175.21,295
175.61,440
176.01,307
176.4,271
176.8,350
177.2,286
177.59,346
177.99,306
178.38,330
178.78,275
179.18,341
179.57,324
179.97,362
180.36,325
180.76,336
181.15,252
181.55,329
181.94,251
182.34,262
182.73,322
183.12,234
183.52,278
183.91,319
184.31,319
184.7,336
185.1,326
185.49,295
185.88,345
186.28,388
186.67,299
187.06,284
187.46,243
187.85,323
188.24,263
188.64,278
189.03,330
189.42,271
189.81,327
190.21,368
190.6,301
190.99,196
191.38,311
191.77,349
192.17,226
192.56,255
192.95,271
193.34,311
193.73,318
194.12,311
194.52,267
194.91,248
195.3,292
195.69,385
196.08,300
196.47,318
196.86,275
197.25,310
197.64,318
198.03,282
198.42,202
198.81,374
199.2,293
199.59,296
199.98,274
200.37,240
200.76,322
201.15,305
201.54,244
201.93,298
202.32,219
202.71,343
203.1,337
203.49,347
203.88,270
204.27,299
204.66,373
205.04,253
205.43,319
205.82,292
206.21,284
206.6,292
206.99,244
207.37,318
207.76,281
208.15,305
208.54,291
208.93,314
209.31,352
209.7,401
210.09,344
210.48,322
210.86,314
211.25,386
211.64,264
212.02,266
212.41,350
212.8,355
213.18,167
213.57,273
213.96,335
214.34,309
214.73,344
215.12,330
215.5,305
215.89,318
216.27,252
216.66,291
217.05,252
217.43,307
217.82,350
218.2,303
218.59,318
218.97,317
219.36,326
219.74,330
220.13,312
220.51,319
220.9,258
221.28,310
221.67,303
222.05,303
222.44,238
222.82,316
223.21,241
223.59,354
223.98,306
224.36,304
224.74,375
225.13,349
225.51,360
225.9,386
226.28,276
226.66,291
227.05,332
227.43,315
227.81,321
228.2,333
228.58,264
228.96,345
229.35,267
229.73,312
230.11,252
230.49,320
230.88,321
231.26,318
231.64,303
232.03,283
232.41,339
232.79,333
233.17,253
233.55,285
233.94,262
234.32,359
234.7,313
235.08,296
235.46,306
235.85,261
236.23,366
236.61,318
236.99,214
237.37,283
237.75,383
238.13,276
238.52,175
238.9,349
239.28,248
239.66,336
240.04,249
240.42,310
240.8,222
241.18,285
241.56,275
241.94,319
242.32,323
242.7,226
243.08,293
243.46,358
243.84,307
244.22,345
244.6,383
244.98,358
245.36,269
245.74,303
246.12,318
246.5,353
246.88,305
247.26,363
247.64,281
248.02,313
248.4,393
248.78,245
249.16,285
249.54,307
249.92,284
250.3,320
250.67,347
251.05,288
251.43,316
251.81,334
252.19,275
252.57,240
252.95,318
253.32,439
253.7,328
254.08,308
254.46,272
254.84,262
255.21,292
255.59,326
255.97,383
256.35,289
256.73,335
257.1,354
257.48,283
257.86,321
258.24,286
258.61,319
258.99,355
259.37,285
259.75,343
260.12,370
260.5,316
260.88,344
261.25,287
261.63,307
262.01,313
262.38,268
262.76,385
263.14,269
263.51,286
263.89,317
264.27,248
264.64,275
265.02,290
265.4,332
265.77,309
266.15,266
266.52,370
266.9,245
267.28,221
267.65,332
268.03,329
268.4,364
268.78,226
269.15,269
269.53,277
269.91,310
270.28,286
270.66,288
271.03,356
271.41,227
271.78,303
272.16,292
272.53,344
272.91,312
273.28,311
273.66,260
274.03,184
274.41,311
274.78,290
275.16,378
275.53,257
275.9,266
276.28,225
276.65,297
277.03,284
277.4,331
277.78,265
278.15,280
278.52,288
278.9,320
279.27,352
279.65,275
280.02,338
280.39,313
280.77,232
281.14,289
281.51,317
281.89,348
282.26,300
282.64,233
283.01,294
283.38,279
283.76,310
284.13,336
284.5,340
284.87,299
285.25,313
285.62,287
285.99,336
286.37,276
286.74,288
287.11,285
287.48,302
287.86,276
288.23,386
288.6,362
288.97,323
289.35,328
289.72,363
290.09,238
290.46,398
290.84,284
291.21,272
291.58,290
291.95,264
292.32,263
292.7,293
293.07,332
293.44,304
293.81,229
294.18,221
294.56,291
294.93,331
295.3,312
295.67,308
296.04,300
296.41,309
296.78,321
297.16,376
297.53,307
297.9,278
298.27,284
298.64,265
299.01,284
299.38,347
299.75,257
300.12,317
300.5,254
300.87,289
301.24,280
301.61,184
301.98,277
302.35,310
302.72,302
303.09,303
303.46,319
303.83,286
304.2,272
304.57,341
304.94,349
305.31,265
305.68,316
306.05,361
306.42,296
306.79,255
307.16,343
307.53,326
307.9,299
308.27,288
308.64,235
309.01,284
309.38,318
309.75,335
310.12,280
310.49,332
310.86,332
311.23,265
311.6,294
311.97,282
312.34,296
312.7,257
313.07,291
313.44,245
313.81,272
314.18,294
314.55,317
314.92,276
315.29,319
315.66,352
316.02,266
316.39,280
316.76,292
317.13,353
317.5,311
317.87,313
318.24,240
318.6,303
318.97,393
319.34,374
319.71,327
320.08,383
320.45,310
320.81,259
321.18,359
321.55,269
321.92,347
322.29,286
322.65,289
323.02,310
323.39,297
323.76,349
324.13,291
324.49,323
324.86,316
325.23,256
325.6,300
325.96,309
326.33,259
326.7,237
327.07,336
327.43,303
327.8,265
328.17,348
328.54,385
328.9,359
329.27,292
329.64,315
330.0,355
330.37,197
330.74,358
331.1,402
331.47,327
331.84,307
332.2,297
332.57,315
332.94,300
333.3,266
333.67,310
334.04,336
334.4,337
334.77,248
335.14,372
335.5,292
335.87,319
336.24,343
336.6,333
336.97,337
337.33,331
337.7,392
338.07,299
338.43,312
338.8,339
339.17,342
339.53,339
339.9,289
340.26,325
340.63,240
340.99,327
341.36,286
341.73,264
342.09,307
342.46,329
342.82,272
343.19,286
343.55,256
343.92,329
344.28,364
344.65,331
345.01,291
345.38,295
345.75,257
346.11,356
346.48,369
346.84,268
347.21,359
347.57,294
347.94,340
348.3,334
348.67,386
349.03,330
349.39,316
349.76,266
350.12,365
350.49,347
350.85,359
351.22,259
351.58,316
351.95,335
352.31,255
352.68,312
353.04,274
353.4,310
353.77,313
354.13,331
354.5,292
354.86,358
355.23,382
355.59,292
355.95,320
356.32,362
356.68,263
357.05,408
357.41,247
357.77,258
358.14,246
358.5,357
358.86,283
359.23,402
359.59,322
359.96,357
360.32,311
360.68,284
361.05,312
361.41,367
361.77,382
362.14,316
362.5,288
362.86,253
363.23,302
363.59,361
363.95,243
364.32,290
364.68,372
365.04,363
365.41,316
365.77,290
366.13,375
366.49,415
366.86,273
367.22,230
367.58,292
367.95,359
368.31,341
368.67,326
369.03,256
369.4,303
369.76,316
370.12,323
370.48,334
370.85,291
371.21,284
371.57,389
371.93,280
372.3,302
372.66,289
373.02,364
373.38,283
373.74,269
374.11,287
374.47,352
374.83,404
375.19,300
375.56,249
375.92,309
376.28,307
376.64,274
377.0,293
377.36,328
377.73,307
378.09,281
378.45,301
378.81,302
379.17,301
379.53,252
379.9,362
380.26,340
380.62,398
380.98,323
381.34,347
381.7,277
382.06,257
382.43,305
382.79,304
383.15,259
383.51,329
383.87,318
384.23,338
384.59,376
384.95,300
385.31,331
385.68,340
386.04,250
386.4,355
386.76,260
387.12,319
387.48,380
387.84,311
388.2,348
388.56,249
388.92,300
389.28,340
389.64,344
390.0,402
390.36,376
390.72,263
391.08,391
